Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Casualty_Severity,Car_Passenger
A201232B299912,2,2,2,2,38,3,2
A201232B299912,2,3,2,2,38,3,2
A201232B300112,1,1,1,1,18,3,0
A201232B300112,2,2,1,2,45,3,0
A201232B301012,1,1,3,1,17,3,0
A201232B304912,1,1,1,2,31,3,0
A201232B306312,1,1,1,1,25,3,0
A201232B308112,1,1,2,1,19,3,1
A201232B308112,1,2,2,1,19,3,2
A201232B308812,1,1,1,2,47,3,0
A201232B308812,2,2,1,1,46,3,0
A201232B309712,2,1,1,2,26,3,0
A201232B317012,2,1,1,1,37,3,0
A201232B318812,1,1,1,2,18,3,0
A201232B318812,2,2,1,1,39,3,0
A201232B321512,2,1,1,1,18,2,0
A201232B323512,1,1,1,2,22,3,0
A201232B323512,2,2,1,1,48,3,0
A201232B326112,1,1,2,1,5,3,2
A201232B326112,1,2,1,2,31,3,0
A201232B329012,2,1,1,1,17,3,0
A201232B334112,2,1,1,2,27,3,0
A201232B337112,2,1,1,2,22,3,0
A201232B337112,2,2,2,2,34,3,1
A201232B337112,2,3,2,1,-1,3,2
A201232B337512,1,1,1,2,17,3,0
A201232B337512,2,2,1,1,27,3,0
A201232B338512,2,1,1,2,19,3,0
A201232B338512,2,2,2,1,21,3,1
A201232B339812,2,1,1,1,59,3,0
A201232B340312,2,1,1,2,22,3,0
A201232B344112,1,1,1,2,80,3,0
A201232B344212,1,1,1,1,50,3,0
A201232B344312,2,1,1,1,19,3,0
A201232B344412,2,1,1,2,37,2,0
A201232B351512,2,1,1,1,12,3,0
A201232B351612,1,1,1,1,30,3,0
A201232B351612,2,2,1,1,37,3,0
A201232B353112,2,1,1,1,24,3,0
A201232B356312,1,1,1,2,41,3,0
A201232B359912,2,1,1,2,49,3,0
A201232B364812,1,1,1,2,26,3,0
A201232B364812,2,2,1,1,37,3,0
A201232B365212,1,2,1,2,20,3,0
A201232B365212,2,1,1,2,24,3,0
A201232B365412,1,1,1,1,89,3,0
A201232B366112,1,1,1,1,19,3,0
A201232B366312,2,1,1,1,16,3,0
A201232B367112,1,1,1,1,25,3,0
A201232B367112,2,2,1,1,28,3,0
A201232B367112,2,3,2,1,28,3,1
A201232B369112,2,1,1,1,55,3,0
A201232B369112,2,2,2,2,8,3,1
A201232B369112,2,3,2,2,27,3,2
A201232B376212,2,1,1,1,22,3,0
A201232B376312,2,1,1,2,15,2,0
A201232B378112,2,1,1,2,42,3,0
A201232B381012,2,1,1,2,28,3,0
A201232B381012,2,2,2,1,36,3,2
A201232B381112,2,1,1,1,26,3,0
A201232B383612,1,1,1,2,46,3,0
A201232B385412,1,1,1,2,37,3,0
A201232B388312,2,1,1,1,39,3,0
A201232B389412,1,1,1,1,34,3,0
A201232B389412,2,2,2,1,74,3,1
A201232B389512,2,1,1,2,57,3,0
A201232B391912,1,1,1,1,24,3,0
A201232B391912,2,2,1,2,38,3,0
A201232B395612,2,1,1,2,42,3,0
A201232B396012,1,1,1,1,18,3,0
A201232B398212,1,2,1,2,72,2,0
A201232B398212,2,1,1,1,57,3,0
A201232B399212,1,1,1,2,53,2,0
A201232B399212,2,2,1,2,23,3,0
A201232B404912,1,1,1,2,58,3,0
A201232B404912,2,2,1,1,67,3,0
A201232B405012,1,2,1,1,29,3,0
A201232B405012,2,1,2,1,7,3,1
A201232B406012,1,1,1,1,55,2,0
A201232B406012,2,2,1,2,19,3,0
A201232B406012,2,3,2,1,22,3,1
A201232B406212,2,1,1,1,43,3,0
A201232B406212,2,2,2,2,42,3,1
A201232B406212,2,3,2,2,65,2,2
A201232B410912,2,1,1,2,-1,3,0
A201232B410912,2,2,2,2,20,3,2
A201232B410912,2,3,2,1,21,3,1
A201232C204712,1,1,1,2,43,3,0
A201232E002412,2,1,1,1,36,3,0
A201232E006212,2,1,1,1,83,3,0
A201232E011012,1,1,1,1,18,1,0
A201232E011012,2,2,1,2,31,3,0
A201232E011412,2,1,1,1,47,3,0
A201232E012012,1,2,2,2,11,3,2
A201232E012012,1,3,2,2,42,3,1
A201232E012012,1,5,1,1,50,3,0
A201232E012012,2,1,1,2,44,3,0
A201232E012012,2,4,2,2,16,3,1
A201232E013612,1,1,1,1,20,3,0
A201232E014012,2,1,1,2,44,3,0
A201232E015712,1,1,1,2,49,3,0
A201232E015712,1,2,2,1,11,3,2
A201232E015712,1,3,2,1,9,3,2
A201232E018012,1,1,1,1,18,3,0
A201232E021512,1,1,1,1,20,3,0
A201232E021512,2,2,1,1,72,2,0
A201232E021512,2,3,2,2,72,3,1
A201232E021612,2,1,1,1,68,3,0
A201232E021712,1,1,1,1,34,3,0
A201232E021712,2,2,1,1,61,3,0
A201232E024912,1,1,1,2,18,3,0
A201232E028112,2,1,1,2,24,3,0
A201232E029212,1,1,1,2,80,3,0
A201232E029912,1,1,1,2,43,3,0
A201232E029912,2,2,1,2,26,3,0
A201232E031312,2,1,1,2,48,2,0
A201232E032412,1,1,1,1,47,2,0
A201232E032412,1,3,2,2,41,3,1
A201232E032412,2,2,1,1,39,3,0
A201232E033012,1,1,2,2,62,3,1
A201232E033012,1,2,2,2,59,3,2
A201232E039412,2,1,1,2,26,3,0
A201232E040112,1,1,2,2,35,3,1
A201232E040112,1,2,1,1,36,3,0
A201232E041812,1,1,2,2,30,3,2
A201232E043412,2,1,1,1,31,3,0
A201232E045712,2,1,1,1,24,2,0
A201232E050812,2,1,1,2,44,3,0
A201232E051712,2,1,2,2,48,3,1
A201232E051712,2,2,2,2,24,3,2
A201232E051812,1,1,1,1,63,3,0
A201232E051812,2,2,1,1,25,3,0
A201232E055312,2,1,1,2,38,3,0
A201232E055312,2,2,2,2,7,3,1
A201232E058012,1,1,2,2,43,3,1
A201232E059112,2,1,1,2,42,3,0
A201232E059212,1,1,1,1,48,3,0
A201232E062412,2,1,1,2,40,3,0
A201232E063112,2,1,1,2,46,3,0
A201232E064712,2,1,1,1,56,3,0
A201232E065612,2,1,2,2,15,3,0
A201232E065912,2,1,1,1,34,3,0
A201232E066312,2,1,1,1,67,1,0
A201232E069412,2,1,2,2,59,3,2
A201232E070612,1,1,1,2,63,3,0
A201232E070612,2,2,1,2,43,3,0
A201232E072512,2,1,1,1,18,3,0
A201232E073612,2,1,1,1,63,3,0
A201232E077612,1,1,1,1,65,3,0
A201232E077612,1,3,2,2,56,3,1
A201232E077612,2,2,1,1,48,3,0
A201232E078212,1,1,1,1,55,3,0
A201232E078212,1,2,2,2,-1,3,1
A201232E080012,2,1,1,2,19,3,0
A201232E084912,1,1,1,1,31,3,0
A201232E085812,1,1,1,1,34,3,0
A201232E085812,2,2,1,2,48,3,0
A201232E086912,1,1,1,1,61,3,0
A201232E090812,1,1,1,2,56,2,0
A201232E090812,2,2,1,1,59,3,0
A201232E090812,2,3,2,1,30,3,1
A201232E091312,2,1,1,1,24,3,0
A201232E091312,2,2,2,2,22,3,1
A201232E094012,1,1,1,2,45,3,0
A201232E094012,2,2,1,1,42,3,0
A201232E094012,2,3,2,1,14,3,1
A201232E094212,1,1,1,1,84,3,0
A201232E094212,2,2,1,1,49,3,0
A201232E096112,1,1,1,2,30,3,0
A201232E096112,2,2,1,2,37,3,0
A201232E098112,2,1,2,2,65,3,2
A201232E099112,2,1,1,1,10,2,0
A201232E102212,1,1,2,2,45,3,1
A201232E102212,1,2,2,1,20,3,2
A201232E102212,2,3,1,2,64,3,0
A201232E105712,2,1,2,2,19,3,1
A201232E106412,2,1,1,2,48,3,0
A201232E107512,1,1,1,2,41,3,0
A201232E107512,2,2,1,1,79,3,0
A201232E111812,2,1,2,2,29,3,1
A201232E111912,2,1,1,2,27,3,0
A201232E112512,1,1,1,1,61,3,0
A201232E112512,2,2,1,1,61,3,0
A201232E115412,2,1,1,1,27,3,0
A201232E115412,2,2,2,1,26,3,1
A201232E115812,2,1,1,1,20,3,0
A201232E119912,2,1,1,1,49,3,0
A201232E123012,1,1,1,2,32,3,0
A201232E123012,2,2,2,2,74,3,1
A201232E123012,2,3,2,1,84,2,1
A201232E123112,2,1,1,1,38,3,0
A201232E123312,1,1,1,1,71,2,0
A201232E123312,1,2,2,1,41,3,1
A201232E123312,1,3,2,2,73,3,2
A201232E123312,2,4,1,1,75,3,0
A201232E123312,2,5,2,1,74,3,1
A201232E127112,2,1,1,2,21,3,0
A201232E128312,2,1,1,2,15,2,0
A201232E130512,1,1,1,1,52,2,0
A201232E132912,1,1,1,1,56,3,0
A201232E132912,2,2,1,2,22,3,0
A201232E133112,2,1,2,1,51,3,1
A201232E133212,1,1,1,2,75,3,0
A201232E140312,2,1,1,2,74,2,0
A201232E141312,1,1,1,1,18,3,0
A201232E141312,2,2,1,2,36,3,0
A201232E141612,2,1,2,2,29,3,1
A201232E143012,1,2,2,2,34,3,1
A201232E143012,2,1,2,2,74,3,1
A201232E143912,2,1,1,2,29,3,0
A201232E146112,1,1,3,1,53,3,0
A201232E151012,2,1,1,1,21,3,0
A201232E156312,1,1,2,1,21,3,1
A201232E156312,1,2,2,2,20,3,2
A201232E156312,1,3,2,1,20,3,2
A201232E156312,1,4,1,2,19,3,0
A201232E156312,2,5,1,2,58,3,0
A201232E156612,1,1,1,1,65,3,0
A201232E156612,1,2,2,2,72,3,1
A201232E157112,2,1,1,1,18,3,0
A201232E158112,1,1,1,2,40,3,0
A201232E158112,1,2,2,2,63,3,1
A201232E158112,2,3,1,1,53,3,0
A201232E161012,2,1,1,1,55,3,0
A201232E162712,1,1,1,1,53,1,0
A201232E165312,2,1,1,1,10,2,0
A201232E165412,2,1,2,2,26,3,2
A201232E171412,1,1,1,1,61,3,0
A201232E171412,2,2,1,2,50,3,0
A201232E171612,1,1,1,1,44,3,0
A201232E171612,2,2,1,1,23,3,0
A201232E171812,2,1,1,1,70,3,0
A201232E171812,2,2,2,2,70,3,1
A201232E172312,2,1,1,1,47,3,0
A201232E173812,1,1,1,1,32,2,0
A201232E173912,1,1,1,2,23,2,0
A201232E173912,2,2,1,1,49,2,0
A201232E173912,2,3,2,2,38,3,1
A201232E175112,2,1,1,1,74,3,0
A201232E176012,2,1,1,1,62,3,0
A201232E176412,1,1,1,1,70,3,0
A201232E177112,2,1,1,1,40,2,0
A201232E178412,1,1,1,2,39,3,0
A201232E178412,1,2,2,1,11,3,1
A201232E178812,1,1,1,1,16,3,0
A201232E179612,1,1,1,1,20,3,0
A201232E179612,2,2,1,1,63,3,0
A201232E180712,2,1,1,1,51,2,0
A201232E184812,1,1,1,1,57,3,0
A201232E184812,1,2,2,2,50,3,1
A201232E188012,2,1,1,1,50,2,0
A201232E190412,2,1,1,2,61,3,0
A201232E192712,1,1,1,1,52,3,0
A201232E192712,1,2,2,2,49,3,1
A201232E193412,1,1,1,2,24,3,0
A201232E193412,2,2,1,1,39,3,0
A201232E194512,2,1,1,2,28,3,0
A201232E200412,2,1,1,1,20,3,0
A201232E202912,1,1,1,2,40,3,0
A201232E202912,1,2,2,2,8,3,1
A201232E202912,2,3,1,1,22,3,0
A201232E203312,1,1,1,1,20,2,0
A201232E203312,2,2,1,2,41,3,0
A201232E204612,1,1,1,1,67,3,0
A201232E204912,1,1,2,1,42,3,1
A201232E204912,1,2,2,2,10,3,2
A201232E205512,1,1,1,2,19,3,0
A201232E210112,1,1,1,1,22,3,0
A201232E210512,2,1,1,1,49,3,0
A201232E211612,2,1,1,2,44,3,0
A201232E212012,2,1,1,2,42,3,0
A201232E212112,2,1,1,1,37,2,0
A201232E212412,2,1,2,2,41,3,1
A201232E216512,2,1,1,1,21,3,0
A201232E219112,2,1,1,1,20,3,0
A201232E219712,1,1,1,1,60,3,0
A201232E221812,2,1,1,2,35,3,0
A201232E221812,2,2,2,2,13,3,1
A201232E224512,1,1,1,1,49,3,0
A201232E224512,2,2,1,2,22,3,0
A201232E225112,2,1,1,2,40,3,0
A201232E225212,2,1,2,2,57,3,1
A201232E226812,1,1,1,2,36,3,0
A201232E227612,2,1,1,1,73,2,0
A201232E229512,1,1,1,1,61,3,0
A201232E229512,2,2,1,2,24,3,0
A201232E229512,2,3,2,1,21,3,1
A201232E230612,2,1,1,2,18,3,0
A201232E233212,1,1,1,1,50,2,0
A201232E233212,2,2,1,1,41,3,0
A201232E236512,1,1,1,1,23,3,0
A201232E237412,2,1,1,1,70,3,0
A201232E237712,1,1,2,2,67,2,1
A201232E237712,2,2,1,2,70,3,0
A201232E238212,1,1,2,1,73,3,2
A201232E238412,1,1,2,2,32,3,1
A201232E241312,2,1,1,1,72,3,0
A201232E243212,2,1,2,2,78,2,0
A201232E245212,1,1,1,1,19,2,0
A201232E246412,1,1,1,1,17,3,0
A201232E246912,1,1,1,2,90,3,0
A201232E247112,2,1,1,1,82,3,0
A201232E247112,2,2,2,2,77,3,1
A201232E247612,2,1,1,2,7,3,0
A201232E248012,1,1,1,1,53,3,0
A201232E248112,1,1,1,1,32,3,0
A201232E248112,2,2,1,2,50,3,0
A201232E248412,1,1,1,2,11,3,0
A201232E248912,2,1,1,1,29,2,0
A201232E256612,2,1,1,1,23,3,0
A201232E257112,2,1,1,2,42,3,0
A201232E257212,1,1,2,2,28,1,1
A201232E257212,1,2,1,1,29,2,0
A201232E257212,1,4,2,1,3,3,2
A201232E257212,2,3,1,2,27,2,0
A201232E257412,2,1,1,2,27,3,0
A201232E257512,2,1,1,2,42,3,0
A201232E257912,2,1,1,1,69,2,0
A201232E259912,1,1,1,2,61,3,0
A201232E259912,2,2,1,2,29,3,0
A201232E260612,2,1,1,1,43,3,0
A201232E264512,2,1,1,2,20,3,0
A201232E264812,2,1,1,2,60,2,0
A201232E267912,2,1,1,2,21,3,0
A201232E270112,1,1,1,1,51,3,0
A201232E271512,2,1,1,1,56,3,0
A201232E272112,2,1,1,2,41,3,0
A201232E272212,2,1,1,1,20,2,0
A201232E272412,1,1,1,1,18,3,0
A201232E272412,2,2,2,1,3,3,2
A201232E272612,1,1,1,1,21,3,0
A201232E272612,2,2,1,1,48,3,0
A201232E272612,2,3,2,2,44,3,1
A201232E273412,1,1,1,1,24,3,0
A201232E273412,2,2,1,2,17,3,0
A201232E273412,2,3,2,2,18,3,1
A201232E273412,2,4,2,2,19,3,2
A201232E275512,2,1,1,2,80,3,0
A201232E275512,2,2,2,1,88,3,1
A201232E280712,2,1,1,2,42,3,0
A201232E281112,2,1,1,2,46,3,0
A201232E281212,1,1,1,2,73,3,0
A201232E284612,2,1,1,1,16,3,0
A201232E285312,2,1,1,1,17,3,0
A201232E288012,1,3,1,1,32,3,0
A201232E288012,2,1,1,1,68,3,0
A201232E288012,2,2,2,2,55,3,1
A201232E288912,1,1,1,1,18,3,0
A201232E288912,2,2,1,2,55,3,0
A201232E288912,2,3,2,2,63,3,1
A201232E292012,1,1,1,1,25,2,0
A201232E292012,2,2,1,1,72,3,0
A201232E292012,2,3,2,2,59,3,1
A201232E298312,2,1,1,2,53,3,0
A201232E299712,1,1,1,1,64,2,0
A201232E299712,1,2,2,2,63,3,1
A201232E300312,2,1,1,2,17,3,0
A201232E300712,2,1,1,1,39,3,0
A201232E301312,1,1,1,1,30,3,0
A201232E304212,1,1,1,2,22,3,0
A201232E304212,1,2,2,1,22,3,1
A201232E308612,2,1,1,1,38,3,0
A201232E310712,2,1,2,2,17,3,1
A201232E312212,1,1,1,1,89,3,0
A201232E312212,2,2,1,1,47,3,0
A201232E322312,2,1,1,1,42,3,0
A201232E324212,2,1,1,1,42,3,0
A201232E324612,2,1,1,1,58,3,0
A201232E325312,1,1,1,2,44,3,0
A201232E329412,1,1,1,2,42,3,0
A201232E329412,2,2,1,2,35,3,0
A201232E333712,2,1,1,1,16,2,0
A201232E335012,1,1,2,1,11,3,2
A201232E335012,2,2,1,1,40,3,0
A201232E336212,1,1,1,2,63,1,0
A201232E336212,2,2,1,2,31,3,0
A201232E346212,1,1,1,2,77,3,0
A201232E347412,1,1,1,1,21,3,0
A201232E347812,1,1,1,1,22,2,0
A201232E354512,1,1,1,1,47,3,0
A201232E355612,2,1,1,2,49,3,0
A201232E359712,2,1,1,1,17,3,0
A201232E361012,2,1,1,1,39,3,0
A201232E361312,1,1,1,1,28,3,0
A201232E361312,2,2,1,1,21,3,0
A201232E362912,2,1,1,2,43,3,0
A201232E363512,2,1,1,1,22,3,0
A201232E364112,2,1,1,1,26,3,0
A201232E370112,2,1,1,1,22,3,0
A201232E370112,2,2,2,2,22,3,1
A201232E370212,1,1,1,1,77,2,0
A201232E370212,2,2,1,1,73,3,0
A201232E370312,1,1,1,1,28,3,0
A201232E370312,2,2,1,2,38,3,0
A201232E370312,2,3,2,2,17,3,1
A201232E374612,2,1,1,1,28,3,0
A201232E377412,2,1,1,1,21,2,0
A201232E377412,2,2,2,1,3,3,0
A201232E377612,2,1,1,2,51,3,0
A201232E378012,2,1,1,2,24,3,0
A201232E382612,1,1,1,1,32,3,0
A201232E382612,2,2,1,2,25,3,0
A201232E382712,2,1,1,1,30,3,0
A201232E383012,2,1,1,1,26,3,0
A201232E387512,2,1,1,2,27,3,0
A201232E387612,2,1,1,2,42,2,0
A201232E397812,2,1,1,2,30,3,0
A201232E407212,1,2,2,2,57,3,1
A201232E407212,2,1,1,2,40,3,0
A201232E412212,2,1,2,2,54,3,1
A201232L001512,2,1,1,2,36,3,0
A201232L002512,2,1,1,1,12,3,0
A201232L005912,2,1,1,1,46,3,0
A201232L006412,1,1,1,1,17,3,0
A201232L006812,1,1,1,1,35,3,0
A201232L009112,2,1,1,1,29,3,0
A201232L010912,1,1,1,1,22,3,0
A201232L010912,2,2,1,1,33,2,0
A201232L011112,1,1,1,1,35,3,0
A201232L011112,1,3,2,2,21,3,1
A201232L011112,2,2,1,1,44,3,0
A201232L011612,2,1,1,1,51,3,0
A201232L011812,2,1,1,1,24,3,0
A201232L012512,2,1,1,1,16,3,0
A201232L012812,1,1,1,2,26,3,0
A201232L012812,2,2,1,2,60,3,0
A201232L012912,1,1,1,1,47,3,0
A201232L012912,2,2,1,2,44,3,0
A201232L013312,2,1,1,2,42,3,0
A201232L018112,2,1,1,2,53,3,0
A201232L018312,1,1,1,1,40,3,0
A201232L019912,2,1,1,2,31,3,0
A201232L020612,2,1,1,1,19,3,0
A201232L021012,1,2,1,2,39,3,0
A201232L021012,1,3,2,2,2,3,1
A201232L021012,2,1,1,1,38,3,0
A201232L024112,1,1,1,1,13,3,0
A201232L024412,1,2,1,1,-1,3,0
A201232L024412,2,1,1,2,54,3,0
A201232L024812,2,1,1,2,45,3,0
A201232L024812,2,2,2,2,61,3,1
A201232L026612,2,1,1,1,41,3,0
A201232L027712,1,1,1,1,79,2,0
A201232L028712,2,1,1,2,31,3,0
A201232L028712,2,2,2,2,3,3,1
A201232L030812,2,1,1,2,23,3,0
A201232L033312,2,1,1,2,19,2,0
A201232L033712,2,1,1,1,48,3,0
A201232L035112,1,1,1,2,45,3,0
A201232L036912,1,1,1,1,18,3,0
A201232L038112,1,1,1,1,63,3,0
A201232L038112,1,2,2,2,67,3,1
A201232L039712,2,1,2,1,28,3,1
A201232L039712,2,2,2,1,30,3,2
A201232L039712,2,3,2,1,31,3,2
A201232L039712,2,4,1,1,39,3,0
A201232L040612,2,1,1,1,44,3,0
A201232L042312,2,1,1,1,25,3,0
A201232L043612,2,1,1,2,41,3,0
A201232L045312,2,1,2,2,67,2,1
A201232L046512,1,2,1,2,20,3,0
A201232L046512,2,1,1,2,20,2,0
A201232L046512,2,3,2,1,20,2,1
A201232L046512,2,4,2,1,20,2,2
A201232L046512,2,5,2,1,20,3,2
A201232L047812,2,1,1,2,58,3,0
A201232L050412,2,1,1,1,33,3,0
A201232L051912,2,1,1,2,31,3,0
A201232L051912,2,2,2,2,32,3,1
A201232L051912,2,3,2,1,31,3,2
A201232L053112,1,1,2,2,35,3,1
A201232L053812,1,1,1,1,29,3,0
A201232L056912,2,1,1,1,17,3,0
A201232L057112,2,1,1,2,20,3,0
A201232L058712,2,1,1,1,49,3,0
A201232L060212,1,1,1,1,62,3,0
A201232L060212,2,2,1,2,33,2,0
A201232L060212,2,3,2,2,3,3,1
A201232L061112,2,1,1,1,25,3,0
A201232L061112,2,2,2,2,23,3,1
A201232L061512,1,1,1,1,52,2,0
A201232L061512,1,2,2,1,53,3,1
A201232L062012,1,1,1,1,41,3,0
A201232L062012,2,2,1,1,21,3,0
A201232L063712,1,1,1,2,33,3,0
A201232L065712,1,1,1,1,75,3,0
A201232L066812,2,1,2,1,17,3,2
A201232L066812,2,2,2,2,15,3,1
A201232L067312,1,1,1,2,38,3,0
A201232L067312,2,2,1,2,68,3,0
A201232L068512,2,1,1,1,35,3,0
A201232L068912,2,1,2,2,40,3,1
A201232L068912,2,2,2,2,12,3,2
A201232L069212,2,1,1,1,23,3,0
A201232L070512,2,1,1,1,33,3,0
A201232L071212,2,1,1,1,25,3,0
A201232L071412,2,1,1,1,15,3,0
A201232L074212,1,1,1,1,50,3,0
A201232L074212,2,2,1,1,43,3,0
A201232L074312,1,1,1,1,40,3,0
A201232L074312,2,2,1,2,42,3,0
A201232L076412,1,1,1,2,69,3,0
A201232L077412,2,1,1,2,43,3,0
A201232L078612,1,1,1,1,17,3,0
A201232L078712,2,1,1,1,16,3,0
A201232L079912,2,1,2,1,44,3,1
A201232L083512,1,1,1,1,26,3,0
A201232L083512,2,2,1,1,19,3,0
A201232L084112,2,1,1,1,35,3,0
A201232L084112,2,2,2,1,4,3,1
A201232L084212,2,1,2,2,76,3,1
A201232L084412,1,1,2,2,14,2,1
A201232L084412,1,2,1,2,17,2,0
A201232L084412,2,3,1,1,27,2,0
A201232L085412,2,1,1,2,48,3,0
A201232L085512,2,1,1,1,32,3,0
A201232L085912,2,1,1,2,69,3,0
A201232L086012,2,1,1,1,59,3,0
A201232L086112,2,1,1,1,25,3,0
A201232L086212,2,1,1,1,20,3,0
A201232L086212,2,2,2,1,18,3,1
A201232L086212,2,3,2,2,18,3,2
A201232L086612,2,1,2,1,36,3,1
A201232L086612,2,2,1,1,41,3,0
A201232L087112,2,1,1,1,64,3,0
A201232L087212,2,1,1,2,72,3,0
A201232L090012,1,1,1,2,23,3,0
A201232L090412,1,2,2,2,2,3,2
A201232L090412,2,1,1,2,36,3,0
A201232L090512,1,1,2,2,4,2,2
A201232L090512,1,2,2,2,6,2,2
A201232L090512,2,3,1,2,25,2,0
A201232L091612,2,1,1,2,23,3,0
A201232L091912,1,1,1,2,49,3,0
A201232L091912,2,2,2,2,59,3,1
A201232L092112,2,1,1,1,43,3,0
A201232L092112,2,2,2,2,21,3,2
A201232L092112,2,3,2,2,19,3,2
A201232L094712,1,1,1,2,28,3,0
A201232L095312,1,1,1,1,80,3,0
A201232L095312,1,2,2,2,80,3,1
A201232L095912,1,1,1,1,28,3,0
A201232L097112,2,1,1,1,23,2,0
A201232L098512,1,1,2,2,69,3,1
A201232L098612,1,1,1,1,40,3,0
A201232L098612,1,3,2,1,20,3,1
A201232L098612,2,2,1,2,25,3,0
A201232L101012,1,1,3,1,42,3,0
A201232L102612,1,1,1,1,59,3,0
A201232L102612,1,2,2,2,1,3,2
A201232L102612,1,3,2,2,59,3,1
A201232L102712,1,1,2,1,10,3,2
A201232L103512,2,1,2,2,18,3,2
A201232L104512,1,1,1,2,49,3,0
A201232L104512,2,2,1,2,58,3,0
A201232L105312,1,1,1,1,46,2,0
A201232L106212,1,1,1,1,18,3,0
A201232L106312,1,1,1,2,38,3,0
A201232L106312,1,2,2,1,19,3,1
A201232L106312,1,3,2,2,-1,3,2
A201232L106512,1,1,1,1,80,3,0
A201232L107312,1,1,2,2,71,3,1
A201232L108512,2,1,1,1,18,3,0
A201232L113012,2,1,1,2,46,3,0
A201232L114812,2,1,1,1,49,3,0
A201232L114912,1,1,1,1,18,2,0
A201232L115612,1,1,1,1,40,3,0
A201232L115612,2,2,1,2,51,3,0
A201232L115612,2,3,2,2,27,3,1
A201232L115712,1,1,1,1,75,3,0
A201232L115712,1,3,2,2,69,3,1
A201232L115712,2,2,1,1,28,3,0
A201232L115912,2,1,1,1,53,3,0
A201232L117512,2,1,1,1,22,2,0
A201232L117612,2,1,2,1,50,3,1
A201232L117612,2,2,2,2,17,3,2
A201232L118212,2,1,1,1,45,3,0
A201232L118712,2,1,1,2,33,3,0
A201232L118812,2,1,1,1,15,3,0
A201232L120512,2,1,1,1,40,3,0
A201232L121812,2,1,1,1,12,3,0
A201232L123212,1,1,1,1,42,2,0
A201232L123512,1,1,1,1,28,3,0
A201232L123912,1,1,1,1,71,3,0
A201232L123912,2,2,1,2,57,3,0
A201232L123912,2,3,2,2,25,3,1
A201232L124612,1,1,2,2,58,3,1
A201232L125712,1,1,1,2,22,3,0
A201232L125712,1,3,2,2,23,3,2
A201232L125712,1,4,2,1,1,3,2
A201232L125712,2,2,1,1,21,3,0
A201232L125812,1,1,1,1,23,3,0
A201232L125812,2,2,1,1,24,3,0
A201232L127412,1,4,1,1,45,3,0
A201232L127412,2,1,1,1,34,3,0
A201232L127412,2,2,2,1,25,3,1
A201232L127412,2,3,2,1,22,3,2
A201232L130312,2,1,1,1,20,3,0
A201232L131712,1,1,2,2,23,3,0
A201232L132112,2,1,1,1,40,2,0
A201232L133412,2,1,1,2,42,3,0
A201232L133512,2,1,1,1,39,3,0
A201232L133512,2,2,2,2,37,3,1
A201232L134012,1,1,1,2,31,3,0
A201232L135412,2,1,2,2,47,3,2
A201232L139512,2,1,1,1,37,3,0
A201232L140612,1,1,1,1,21,2,0
A201232L140912,1,1,1,2,83,2,0
A201232L140912,2,2,1,1,49,3,0
A201232L144412,2,1,1,2,44,3,0
A201232L144712,1,1,1,1,61,3,0
A201232L146912,1,1,2,2,57,3,1
A201232L148012,1,1,1,1,20,3,0
A201232L148012,2,2,1,2,64,2,0
A201232L148012,2,3,2,2,60,3,1
A201232L148512,1,1,1,1,20,3,0
A201232L148912,1,1,1,1,57,3,0
A201232L148912,2,2,1,2,29,3,0
A201232L148912,2,3,2,2,30,3,1
A201232L149112,1,1,1,2,26,3,0
A201232L149112,2,2,1,2,30,3,0
A201232L150812,1,2,2,2,51,3,1
A201232L150812,2,1,2,2,76,3,1
A201232L152112,2,1,1,1,25,3,0
A201232L153012,2,1,1,2,40,3,0
A201232L156212,1,1,1,1,27,3,0
A201232L156212,2,2,1,1,36,3,0
A201232L156712,1,1,1,2,30,3,0
A201232L157912,1,2,1,1,25,3,0
A201232L157912,1,3,2,1,18,3,1
A201232L157912,2,1,1,2,42,3,0
A201232L157912,2,4,2,1,12,3,1
A201232L159412,2,1,1,1,39,3,0
A201232L160212,2,1,1,1,36,3,0
A201232L160712,2,1,1,1,36,3,0
A201232L164012,1,1,1,1,31,2,0
A201232L164012,2,2,1,2,29,2,0
A201232L165112,1,1,1,1,23,3,0
A201232L166412,1,1,1,2,32,3,0
A201232L169512,1,1,1,2,35,3,0
A201232L171012,2,1,1,1,-1,3,0
A201232L174012,1,1,1,1,54,2,0
A201232L178312,2,1,1,1,42,3,0
A201232L178612,1,1,1,1,55,3,0
A201232L180412,2,1,1,1,61,3,0
A201232L181712,2,1,1,1,58,2,0
A201232L182112,2,1,1,1,66,3,0
A201232L182112,2,2,2,1,14,3,2
A201232L183212,2,1,1,2,24,3,0
A201232L183212,2,2,2,1,28,3,1
A201232L183212,2,3,2,2,21,3,2
A201232L183312,1,2,1,1,31,3,0
A201232L183312,1,3,2,2,46,3,1
A201232L183312,1,4,2,2,17,3,2
A201232L183312,2,1,1,1,56,2,0
A201232L183412,2,1,1,1,20,3,0
A201232L183512,2,1,1,2,18,3,0
A201232L183612,2,1,1,1,37,3,0
A201232L184312,2,1,1,2,46,3,0
A201232L184312,2,2,2,1,11,3,1
A201232L184512,2,1,2,2,43,3,1
A201232L184512,2,2,2,2,18,3,2
