Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Casualty_Severity,Car_Passenger
A201201BS70616,2,1,1,1,43,3,0
A201201BS70616,2,2,2,1,30,3,2
A201201BS70618,1,1,1,2,29,3,0
A201201BS70622,2,1,1,1,44,3,0
A201201BS70623,2,1,1,1,20,3,0
A201201BS70624,2,1,1,1,55,3,0
A201201BS70626,2,1,1,1,36,3,0
A201201BS70627,1,1,1,1,21,3,0
A201201BS70627,2,2,1,1,56,3,0
A201201BS70627,2,3,2,2,53,3,1
A201201BS70628,2,1,1,1,37,3,0
A201201BS70631,1,1,1,1,44,3,0
A201201BS70631,2,2,1,1,48,3,0
A201201BS70633,1,1,1,1,30,3,0
A201201BS70634,2,1,1,1,-1,2,0
A201201BS70637,1,1,1,1,41,3,0
A201201BS70638,2,1,1,1,24,3,0
A201201BS70639,2,1,1,2,46,3,0
A201201BS70640,2,1,1,1,20,3,0
A201201BS70642,1,1,3,1,37,3,0
A201201BS70646,1,1,1,1,46,3,0
A201201BS70646,2,2,1,2,32,3,0
A201201BS70646,2,3,2,1,-1,3,1
A201201BS70649,2,1,1,1,38,2,0
A201201BS70651,2,1,1,2,34,3,0
A201201BS70653,1,1,1,2,-1,3,0
A201201BS70656,2,1,2,1,45,3,2
A201201BS70656,2,2,2,2,56,3,1
A201201BS70658,1,1,1,1,39,3,0
A201201BS70660,2,1,1,1,-1,3,0
A201201BS70664,1,1,1,1,41,3,0
A201201BS70666,1,1,1,1,30,2,0
A201201BS70667,1,1,2,1,36,3,1
A201201BS70668,2,1,1,1,44,3,0
A201201BS70671,1,1,1,1,25,3,0
A201201BS70673,2,1,1,1,32,3,0
A201201BS70678,1,1,1,2,37,3,0
A201201BS70678,1,2,2,1,40,3,1
A201201BS79001,1,1,1,1,22,3,0
A201201BS79002,1,1,1,1,48,3,0
A201201BS79026,1,1,1,1,39,2,0
A201201BS79037,2,1,1,1,-1,3,0
A201201BS79091,1,1,1,2,35,3,0
A201201BS79091,1,2,2,2,68,3,1
A201201CP00002,2,1,1,1,-1,3,0
A201201CP00005,1,2,2,1,48,3,2
A201201CP00005,2,1,1,1,53,3,0
A201201CP00010,2,1,1,1,29,3,0
A201201CP00012,2,1,1,1,38,3,0
A201201CP00015,1,2,2,2,31,3,0
A201201CP00015,1,3,2,2,37,3,0
A201201CP00015,2,1,1,2,51,3,0
A201201CP00020,1,1,1,2,40,3,0
A201201CP00021,1,1,2,2,31,3,2
A201201CP00022,1,1,1,1,49,3,0
A201201CP00022,1,2,2,2,-1,3,2
A201201CP00023,1,1,2,2,21,3,2
A201201CP00023,1,2,2,2,41,2,2
A201201CP00024,2,1,1,1,46,3,0
A201201CP00025,1,1,1,1,37,3,0
A201201CP00026,1,1,1,1,29,3,0
A201201CP00027,1,1,1,1,34,3,0
A201201CP00030,2,1,1,1,59,3,0
A201201CP00033,1,1,1,1,46,2,0
A201201CP00034,1,1,1,1,35,3,0
A201201CP00035,2,1,1,1,20,3,0
A201201CP00038,1,1,1,1,29,3,0
A201201CP00042,1,1,1,1,23,3,0
A201201CP00043,1,1,1,1,39,3,0
A201201CP00044,2,1,1,2,24,3,0
A201201CP00046,2,1,1,1,27,3,0
A201201CP00047,1,1,1,1,-1,3,0
A201201CP00048,2,1,1,1,32,3,0
A201201CP00050,2,1,1,1,45,3,0
A201201CP00051,1,1,1,1,53,3,0
A201201CP00054,1,1,1,1,34,3,0
A201201CP00055,2,1,1,1,41,3,0
A201201CP00056,1,1,1,1,52,3,0
A201201CP00056,2,2,1,1,54,3,0
A201201CP00060,1,1,1,1,31,3,0
A201201CP00061,1,1,1,1,71,2,0
A201201CP00062,1,1,2,2,-1,3,2
A201201CP00063,1,1,1,1,31,2,0
A201201CP00064,2,1,1,1,48,2,0
A201201CP00066,2,1,1,1,48,3,0
A201201CP00068,1,1,1,1,23,3,0
A201201CP00068,2,2,1,1,39,3,0
A201201CP00070,1,1,1,1,61,3,0
A201201CP00071,1,1,1,1,37,3,0
A201201CP00072,2,1,1,1,41,3,0
A201201CP00074,2,1,1,1,25,3,0
A201201CP00075,1,1,3,1,28,3,0
A201201CP00076,1,1,1,1,27,3,0
A201201CP00076,2,2,1,1,-1,3,0
A201201CP00078,1,1,1,1,29,2,0
A201201CP00079,1,1,1,1,32,3,0
A201201CP00080,2,1,1,1,61,3,0
A201201CP00081,2,1,1,1,31,3,0
A201201CP00082,1,1,1,1,52,3,0
A201201CP00083,2,1,1,1,52,3,0
A201201CP00084,1,1,2,2,28,3,2
A201201CP00084,1,2,2,1,-1,3,1
A201201CP00085,1,1,1,1,22,3,0
A201201CP00086,1,1,1,1,33,3,0
A201201CP00089,2,1,1,1,31,3,0
A201201CP00091,2,1,1,1,25,3,0
A201201CP00093,2,1,1,1,35,3,0
A201201CP00094,1,1,1,1,51,3,0
A201201CP00095,1,1,1,1,20,3,0
A201201CP00096,2,1,1,1,56,3,0
A201201CP00098,2,1,1,1,26,3,0
A201201CP00102,1,1,1,1,27,3,0
A201201CP00104,1,1,1,1,43,3,0
A201201CP00105,2,1,1,1,27,3,0
A201201CP00106,1,1,1,1,42,3,0
A201201CP00106,2,2,1,1,37,3,0
A201201CP00109,1,1,1,1,34,3,0
A201201CP00110,1,1,2,2,28,3,2
A201201CP00114,2,1,1,1,53,3,0
A201201CP00116,2,1,1,2,25,2,0
A201201CP00117,2,1,1,1,31,3,0
A201201CP00119,1,1,1,1,58,3,0
A201201CP00121,2,1,1,1,41,3,0
A201201CP00125,1,1,1,1,28,3,0
A201201CP00127,1,1,1,1,43,3,0
A201201CP00127,1,3,2,2,12,3,1
A201201CP00127,2,2,1,1,37,2,0
A201201CP00128,1,1,2,1,41,3,2
A201201CP00130,2,1,1,1,36,3,0
A201201CP00136,2,1,1,1,38,3,0
A201201CP00137,2,1,1,1,21,3,0
A201201CP00139,1,1,1,1,18,3,0
A201201CP00140,1,1,1,1,25,2,0
A201201CP00141,2,1,1,1,39,2,0
A201201CP00142,2,1,1,1,47,2,0
A201201CP00144,2,1,1,1,-1,3,0
A201201CP00147,2,1,1,1,51,3,0
A201201CP00148,1,1,1,2,41,3,0
A201201CP00150,2,1,1,1,32,3,0
A201201CP00151,2,1,1,1,33,3,0
A201201CP00152,2,1,1,1,36,3,0
A201201CP00153,2,1,1,1,27,3,0
A201201CP00154,1,1,1,1,44,3,0
A201201CP00155,2,1,1,1,34,3,0
A201201CP00158,2,1,1,1,25,3,0
A201201CP00160,2,1,1,2,26,3,0
A201201CP00161,1,1,1,1,25,3,0
A201201CP00161,2,2,1,1,35,3,0
A201201CP00162,1,1,1,1,49,3,0
A201201CP00164,2,1,1,1,24,3,0
A201201CP00165,1,1,1,1,33,3,0
A201201CP00166,2,1,1,1,39,2,0
A201201CP00167,1,1,1,1,40,3,0
A201201CP00168,2,1,1,2,28,3,0
A201201CP00169,2,1,1,1,46,3,0
A201201CP00171,2,1,1,2,32,3,0
A201201CP00178,1,1,1,1,33,2,0
A201201CP00182,1,1,1,1,34,3,0
A201201CP00185,1,1,1,1,45,3,0
A201201CP00186,1,1,1,2,26,3,0
A201201CP00190,1,1,1,2,28,3,0
A201201CP00191,1,1,1,1,31,3,0
A201201CP00193,2,1,1,1,17,3,0
A201201CP00195,1,1,1,1,52,3,0
A201201CP00199,1,1,1,2,32,3,0
A201201CP00202,2,1,1,1,33,3,0
A201201CP00203,2,1,2,2,29,3,1
A201201CP00204,1,1,1,1,50,2,0
A201201CP00206,2,1,1,1,21,3,0
A201201CP00207,2,1,1,1,25,3,0
A201201CP00209,2,1,1,2,29,3,0
A201201CP00210,2,1,1,1,36,3,0
A201201CP00211,2,1,1,1,37,3,0
A201201CP00212,2,1,1,1,29,3,0
A201201CP00214,1,1,1,1,33,3,0
A201201CP00214,1,2,3,2,34,3,0
A201201CP00215,1,1,1,1,47,3,0
A201201CP00216,1,1,2,1,45,3,2
A201201CP00217,2,1,1,1,41,3,0
A201201CP00218,1,1,1,1,42,2,0
A201201CP00219,1,1,1,1,23,3,0
A201201CP00220,1,1,1,1,24,3,0
A201201CP00222,1,1,1,1,29,3,0
A201201CP00223,1,1,1,1,54,3,0
A201201CP00223,2,2,1,1,38,3,0
A201201CP00224,1,1,1,1,60,3,0
A201201CP00225,2,1,1,2,34,3,0
A201201CP00226,1,1,1,1,28,3,0
A201201CP00227,2,1,1,1,60,2,0
A201201CP00232,1,1,1,1,28,3,0
A201201CP00237,1,1,1,1,20,3,0
A201201CP00238,2,1,1,1,36,3,0
A201201CP00240,1,1,1,1,49,3,0
A201201CP00241,2,1,1,1,63,3,0
A201201CP00244,1,1,1,1,20,3,0
A201201CP00247,2,1,1,1,24,3,0
A201201CP00250,2,1,1,1,37,3,0
A201201CP00251,1,1,1,1,27,2,0
A201201CP00255,1,1,1,1,36,3,0
A201201CP00257,2,1,1,1,31,3,0
A201201CP00258,1,1,1,1,28,3,0
A201201CP00261,1,1,1,2,25,3,0
A201201CP00264,2,1,1,1,26,3,0
A201201CP00265,2,1,1,1,44,3,0
A201201CP00266,2,1,1,1,42,3,0
A201201CP00267,2,1,1,1,43,3,0
A201201CP00268,2,1,1,1,57,3,0
A201201CP00269,2,1,1,1,27,3,0
A201201CP00272,2,1,1,1,56,3,0
A201201CP00272,2,2,2,2,79,2,2
A201201CP00272,2,3,2,2,43,3,2
A201201CP00274,2,1,1,1,46,3,0
A201201CP00275,2,1,1,1,54,3,0
A201201CP00276,2,1,1,1,43,3,0
A201201CP00278,2,1,1,1,39,3,0
A201201CP00279,2,1,1,2,28,3,0
A201201CP00285,2,1,1,1,49,3,0
A201201CP00286,2,1,1,1,46,3,0
A201201CP00287,2,1,1,2,25,3,0
A201201CP00289,1,1,1,1,25,3,0
A201201CP00294,2,1,1,1,44,3,0
A201201CP00299,1,1,1,1,26,3,0
A201201CP00299,2,2,1,1,45,3,0
A201201CP00301,1,1,1,2,39,2,0
A201201CP00302,1,1,1,2,56,3,0
A201201CP00308,1,1,1,1,32,3,0
A201201CP00309,2,1,1,1,19,2,0
A201201CP00310,1,1,1,1,24,3,0
A201201CP00311,2,1,1,1,28,3,0
A201201CP00311,2,2,2,2,26,3,0
A201201CP00312,1,1,1,1,25,3,0
A201201CP00312,2,2,1,1,50,3,0
A201201CP00313,2,1,1,1,46,3,0
A201201CP00315,2,1,2,1,44,3,2
A201201CP00319,1,1,1,1,70,3,0
A201201CP00321,1,1,2,2,53,3,2
A201201CP00321,1,2,2,1,47,3,2
A201201CP00323,1,1,1,2,24,3,0
A201201CP00325,1,1,1,1,36,3,0
A201201CP00327,1,1,1,1,35,3,0
A201201CP00328,2,1,1,2,34,3,0
A201201CP00330,2,1,1,1,32,3,0
A201201CP00331,1,1,1,1,25,3,0
